Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2025-03-19,395.75811767578125,403.31882336844717,395.3162769319527,402.5823921632704,12830387
2025-03-20,396.641845703125,399.2929799729773,394.62891583099076,397.6728373693795,16994037
2025-03-21,398.212890625,400.12762375553666,394.4325677226245,398.60567790903195,25302035
2025-03-24,403.4660949707031,405.38082804931764,398.2619932184889,399.6366587789359,14362572
2025-03-25,402.385986328125,407.73739824308706,401.3059112323006,404.5461964506968,20338110
2025-03-26,399.9803466796875,403.76069957751406,398.90024157095667,402.8769581468943,13891436
2025-03-27,402.0423583984375,403.2697437519979,398.3110889443362,400.6185794021223,18642328
2025-03-28,402.3369140625,408.08108344123156,400.7658548357284,403.46610258111434,12981873
2025-04-01,399.2929992675781,406.90278849853894,398.2620075515041,402.38600438126315,15206240
2025-04-02,401.6495666503906,402.5823914949175,398.7038418345742,399.685750106513,8001323
2025-04-03,401.99322509765625,402.7787696643111,399.34209084453187,399.68573475414075,7059566
2025-04-04,402.287841796875,405.3317335492131,397.1819066595655,400.12763155444486,18627592
2025-04-07,398.7038269042969,400.71675676567065,383.09149195819776,383.09149195819776,26762866
2025-04-08,405.08624267578125,408.2774445365288,399.88214085828554,404.4480082967242,18600796
2025-04-09,408.7684020996094,411.4686498505965,403.8097773067089,405.52811678460984,21785572
2025-04-11,413.92340087890625,414.8071422550909,409.4557304346882,412.40145511407445,8939356
2025-04-15,412.7942199707031,421.4350305010776,411.4195544215754,421.4350305010776,11685880
2025-04-16,416.7709655761719,418.3419947920321,410.4376454249374,410.4376454249374,13034594
2025-04-17,419.5202941894531,420.10944512464874,413.92340525328643,417.3110006565654,22410217
2025-04-21,415.1999206542969,421.336847381582,413.87433848811077,420.3058257121206,27388236
2025-04-22,425.75543212890625,426.9337040743589,415.88723603001415,418.24383985184426,32031936
2025-04-23,423.05517578125,429.53577622856506,421.0913592799704,428.3083909152653,19566317
2025-04-24,422.2696228027344,428.16107218939527,421.53319162940176,424.0370755980093,26064089
2025-04-25,420.0603332519531,424.87170760222523,415.6417461702055,422.2696267928269,22944377
2025-04-28,421.042236328125,422.71149230249586,417.06551998951244,418.9311396302756,6287095
2025-04-29,418.29290771484375,421.82778335059663,417.31099948077133,421.14043560056143,11189930
2025-04-30,418.0965270996094,421.5332060258665,414.3652876801437,419.6675863161336,10026546
2025-05-02,421.7295837402344,423.69340019536935,416.42728530446215,416.42728530446215,9263372
2025-05-05,429.0448303222656,430.56677615372786,421.5823214813549,422.4660329307672,11525305
2025-05-06,427.6701354980469,431.69596540271175,425.16628139288804,429.5848686129065,15026568
2025-05-07,423.3497314453125,427.13008416028316,421.9259824773884,425.5590249840726,9710361
2025-05-08,422.8096923828125,423.6934038020536,415.88722134025767,421.2386332122387,19937960
2025-05-09,415.8872375488281,421.38592987740896,415.34719998420627,418.24384137926455,8226512
2025-05-12,427.6210632324219,428.3084110263286,420.40403125825395,421.7296134519522,8031891
2025-05-13,420.1585388183594,430.026734819032,417.654684739414,427.0318966442069,14976369
2025-05-14,421.33685302734375,424.0371008235316,418.1947345146855,419.3730364482981,9557309
2025-05-15,424.8226013183594,427.52284902460343,418.2929174036252,421.3368389928473,24263510
2025-05-16,427.81744384765625,428.3083979810754,424.2825680939457,427.03189925490824,16402035
2025-05-19,427.4737548828125,430.56675982116076,424.822590669679,427.1300810084491,7543854
2025-05-20,427.0318908691406,432.82514353663043,425.068074374028,429.09390418210114,9868414
2025-05-21,425.1662902832031,430.27222538595333,424.184381991556,428.70116612622536,5776672
